gr_year,squirrel_id,N
SU_2005,10120,94
SU_2005,6666,33
SU_2005,6528,26
SU_2005,7818,41
SU_2005,6526,26
SU_2005,7342,22
SU_2005,6366,92
SU_2005,6499,171
SU_2005,7073,125
SU_2005,7117,144
SU_2005,10160,142
SU_2005,6345,29
SU_2005,6354,23
SU_2005,6355,22
SU_2005,6416,126
SU_2005,6860,133
SU_2005,7087,134
SU_2005,7088,143
SU_2005,10132,75
SU_2005,10133,103
SU_2005,10191,113
SU_2005,6512,99
SU_2005,7819,31
SU_2005,7831,101
SU_2005,10135,107
KL_2005,6483,27
KL_2005,10140,25
SU_2005,6551,58
SU_2005,6942,57
SU_2005,6752,22
SU_2005,10139,22
KL_2006,8733,51
KL_2006,7106,30
KL_2006,8648,24
KL_2006,8727,28
KL_2006,6868,25
KL_2006,6882,36
KL_2006,6987,24
KL_2006,7092,36
KL_2006,7148,43
KL_2006,7177,22
KL_2006,7603,27
KL_2006,7833,44
KL_2006,7842,26
KL_2006,8330,25
KL_2006,8576,30
KL_2006,10137,40
KL_2006,10275,26
KL_2006,7609,23
KL_2006,10140,42
KL_2006,6991,22
KL_2006,7118,25
KL_2006,7125,22
KL_2006,7291,26
KL_2006,7451,28
KL_2006,7828,27
KL_2006,6639,23
KL_2006,7704,24
KL_2006,8703,32
KL_2006,10138,22
KL_2006,10182,26
KL_2006,7124,22
KL_2006,7390,43
KL_2006,7827,43
KL_2006,8745,27
KL_2006,10181,54
KL_2006,6956,45
KL_2006,7136,36
KL_2006,7836,54
KL_2006,10176,30
KL_2006,7055,25
KL_2006,10121,25
KL_2006,7664,22
KL_2006,6883,137
KL_2006,6893,132
KL_2006,10183,27
KL_2006,10192,25
KL_2006,6706,50
KL_2006,6762,100
KL_2006,6862,106
KL_2006,7128,139
KL_2006,7838,86
KL_2006,6898,142
KL_2006,6925,95
KL_2006,6799,94
KL_2006,6838,94
KL_2006,6870,103
KL_2006,6871,124
KL_2006,7837,90
KL_2006,6851,101
KL_2006,7112,118
KL_2006,6809,82
KL_2006,7376,125
KL_2006,6793,84
KL_2006,7593,117
KL_2006,6952,109
KL_2006,7103,179
KL_2006,6934,135
KL_2006,6939,139
KL_2006,6989,99
KL_2006,8297,165
KL_2006,6995,210
KL_2006,10317,97
KL_2006,6826,36
KL_2006,6964,143
KL_2006,6998,138
KL_2006,10318,137
KL_2006,7392,25
KL_2006,6791,93
KL_2006,7127,93
KL_2006,6916,34
KL_2006,6917,25
SU_2006,6760,23
SU_2006,7247,52
SU_2006,7278,72
SU_2006,7926,63
SU_2006,8579,29
SU_2006,7387,53
SU_2006,7643,27
SU_2006,7727,99
SU_2006,8398,31
SU_2006,8443,43
SU_2006,10134,26
SU_2006,6559,74
SU_2006,7096,64
SU_2006,7423,44
SU_2006,7553,32
SU_2006,7068,22
SU_2006,7172,28
SU_2006,7209,22
SU_2006,7307,63
SU_2006,7584,34
SU_2006,6841,44
SU_2006,6844,42
SU_2006,7088,56
SU_2006,7117,27
SU_2006,7884,54
SU_2006,10133,89
SU_2006,7831,35
SU_2006,8817,23
SU_2006,10191,26
SU_2006,8580,32
SU_2006,10120,83
SU_2006,10139,33
SU_2006,7087,62
SU_2006,7306,83
SU_2006,7846,76
SU_2006,7250,57
SU_2006,10132,60
SU_2006,6832,132
SU_2006,7074,63
SU_2006,7094,140
SU_2006,7193,64
SU_2006,7847,72
SU_2006,7915,49
SU_2006,10114,48
SU_2006,10135,42
SU_2006,7057,133
SU_2006,8591,55
SU_2006,7089,37
SU_2006,10185,104
SU_2006,6940,84
SU_2006,6960,149
SU_2006,7067,141
SU_2006,7090,47
SU_2006,6965,136
SU_2006,8644,148
SU_2006,6990,106
SU_2006,7104,100
SU_2006,6980,150
SU_2006,7012,85
SU_2006,7056,43
SU_2006,6895,35
SU_2006,7592,190
SU_2006,7060,43
SU_2006,7134,52
KL_2006,6531,22
KL_2007,7827,65
KL_2007,7838,33
KL_2007,7842,28
KL_2007,8330,26
KL_2007,8727,31
KL_2007,10140,25
KL_2007,7603,29
KL_2007,7704,25
KL_2007,8619,24
KL_2007,8733,34
KL_2007,7833,54
KL_2007,10181,62
KL_2007,10318,75
KL_2007,10137,35
KL_2007,10176,28
KL_2007,10317,27
KL_2007,10212,22
KL_2007,8576,24
KL_2007,8648,24
KL_2007,8703,26
KL_2007,8745,27
KL_2007,10182,31
KL_2007,7837,38
KL_2007,10121,63
KL_2007,10131,26
KL_2007,10183,73
KL_2007,10265,26
KL_2007,8609,25
KL_2007,8297,25
KL_2007,10177,37
KL_2007,7836,62
KL_2007,7897,29
KL_2007,10275,24
KL_2007,8582,34
KL_2007,10192,44
KL_2007,7712,22
KL_2007,10375,24
KL_2007,8680,22
KL_2007,10342,34
KL_2007,10050,26
SU_2007,7407,22
SU_2007,7695,30
SU_2007,7884,107
SU_2007,8644,99
SU_2007,10132,37
SU_2007,10133,50
SU_2007,10139,87
SU_2007,10185,83
SU_2007,7831,28
SU_2007,8817,36
SU_2007,10191,35
SU_2007,7926,94
